"elementList__propertyCode","elementList__thumbnail","elementList__externalReference","elementList__numPhotos","elementList__floor","elementList__price","elementList__propertyType","elementList__operation","elementList__size","elementList__exterior","elementList__rooms","elementList__bathrooms","elementList__address","elementList__province","elementList__municipality","elementList__district","elementList__country","elementList__latitude","elementList__longitude","elementList__showAddress","elementList__url","elementList__distance","elementList__description","elementList__hasVideo","elementList__status","elementList__newDevelopment","elementList__hasLift","elementList__parkingSpace__hasParkingSpace","elementList__parkingSpace__isParkingSpaceIncludedInPrice","elementList__priceByArea","elementList__detailedType__typology","elementList__detailedType__subTypology","elementList__suggestedTexts__subtitle","elementList__suggestedTexts__title","elementList__hasPlan","elementList__has3DTour","elementList__has360","elementList__hasStaging","elementList__labels__name","elementList__labels__text","elementList__topNewDevelopment","elementList__superTopHighlight","total","totalPages","actualPage","itemsPerPage","numPaginations","summary","alertName","lowerRangePosition","upperRangePosition","paginable"
"99022570","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f5/e2/67/1031709675.jpg","LRS_0005532","21","bj","160000.0","flat","sale","133.0","True","2","1","Torres de la Alameda","Madrid","Torres de la Alameda","","es","40.4050968","-3.3584227","False","https://www.idealista.com/inmueble/99022570/","11991","LemonLine te presenta este bajo de 79m²* útiles con piscina comunitaria. ¡Y sin coste de intermediación inmobiliaria para el comprador! Consta de un luminoso salón-comedor, una amplia cocina, dos amplios dormitorios (uno doble y otro individual) y un azulado baño de 3 piezas equipado con plato de ducha.  Características: - Exterior - Listo para entrar a vivir - Mobiliario no incluido - Luminoso - Suelos de parqué - Ventana y contraventa - Calefacción eléctrica calor azul - Aire acondicionado con bomba de calor - Armarios empotrados - Trastero y plaza de parking incluidos en el precio - Finca del 2004 - Edificio de 2 plantas - Zona comunitaria con jardín y piscina La vivienda se encuentra a pocos minutos caminando de todos los servicios necesarios en nuestro día a día. Acceso a M-220, M-224, M-225. Parada de bus a 100 metro: 261 Si tienes cualquier duda o pregunta o quieres programar una visita, ¡no dudes en ponerte en contacto con nosotros! Si necesitas financiación, nuestro departamento financiero LemonLine Hipotecas obtiene **hasta el 100% gracias a nuestros únicos acuerdos de colaboración con las entidades bancarias. *El precio ofertado de este inmueble no incluye el mobiliario interno de la vivienda. La superficie del inmueble ha sido facilitada por el vendedor, consultada en la Sede Electrónica de Catastro o Registro de la Propiedad, pudiendo haber alguna variación con la superficie real. Les comunicamos que en el precio ofertado de venta, no están incluidos los gastos de compraventa: notariales, registrales, gestoría, ITP (Impuesto de Transmisiones Patrimoniales) y/o gastos bancarios que pudieran generarse. **La obtención de la financiación está sujeta a las condiciones de la entidad financiera y tendrá en cuenta el perfil y solvencia del cliente. Consulta nuestra web para leer el Aviso Legal sobre la descripción de este inmueble..","True","good","False","False","True","True","1203.0","flat","","Torres de la Alameda","Piso","False","False","False","False","","","False","False","1168","24","6","50","0","Comprar","Viviendas en distrito El Mirador - Grillero, Arganda","250","300","True"
"99014701","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/47/01/ea/1031457108.jpg","5606/2448","28","","775000.0","chalet","sale","374.0","False","7","3","Zona Industrial","Madrid","Arganda","Zona Industrial","es","40.2816196","-3.4919079","False","https://www.idealista.com/inmueble/99014701/","7846","REF. 5606/2448. IMPRESIONANTE COMPEJO FORMADO POR VARIAS FINCAS DE 58.444 m2 Y LAGO PROPIO DONDE SE PUEDE PESCAR. Una de las parcelas 2.900 m2. Con dos casas independientes con 374 m2 construidos. Reformadas recientemente. La finca tiene agua de pozo, luz eléctrica, alarma, vigilancia 24 horas. Doble puerta por la que pueden entrar camiones. Garaje subterráneo de 300 m2.  La vivienda principal tiene cinco dormitorios, dos baños, gran salón con acceso a un espectacular porche, cocina, magnífica parcela libre con huerto, zona de barbacoa. 2º vivienda independiente con patio, dos dormitorios, un baño, fantástico salón con chimenea y cocina abierta. Las viviendas están entre la Carretera de Chinchón y San Martín de La Vega. NO COBRAMOS HONORARIOS AL COMPRADOR. TRATO DIRECTO CON LA PROPIEDAD.","False","good","False","","True","True","2072.0","chalet","independantHouse","Zona Industrial, Arganda","Casa independiente","False","False","False","False","luxuryType","Lujo","False","False","","","","","","Viviendas","","","",""
"84656017","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/16/1b/96/1005983422.jpg","5606/2367","58","","473000.0","chalet","sale","291.0","False","5","3","Los Villares","Madrid","Arganda","Los Villares","es","40.3174382","-3.4519517","False","https://www.idealista.com/inmueble/84656017/","4397","REF. 5606/2367. Espectacular chalet independiente en Los Villares.  Tiene magnífica parcela libre de 360 m2. con piscina de agua salada, zona de barbacoa con toldos,   fantástico jardín con zona de césped, plantas y árboles frutales. Riego automático en toda la parcela. En planta baja con dos entradas independientes, tiene hall, un baño, fantástico salón con chimenea, cocina americana y despensa. Tiene acceso directo a la piscina y a la planta superior, garaje para dos coches, bicicletas, cuarto de caldera. En planta primera tiene fabuloso porche. Entramos a la vivienda y tiene hall, cocina grande con comedor de diario y acceso al porche, espectacular salón más de 35m2 con chimenea, grandes ventanales y acceso al porche, un baño grande con plato de ducha y ventana al exterior, un dormitorio grande. ( Se puede hacer otro dormitorio y ampliar la cocina) En segunda planta tiene cuatro dormitorios grandes y un fantástico baño con ventana. Tiene aire acondicionado en los dos salones y dos dormitorios, calefacción de gas-oil. Vivienda sin gastos de comunidad. Los Villares es una zona residencial con todos los servicios. Colegios públicos y concertados, instituto José Saramago, guarderías, polideportivo, gimnasios, supermercados, centro de salud, parada de autobuses, a pocos minutos andando metro línea nueve. Hay buen acceso de entrada y salida a la autovía A. 3. Y R. 3  A SOLO 25 KM DE MADRID. MEJOR VISITAR LA PROPIEDAD. NO COBRAMOS HONORARIOS AL COMPRADOR. TRATO DIRECTO CON LA PROPIEDAD, TOTAL TRANSPARIENCIA.","False","good","False","","True","True","1625.0","chalet","independantHouse","Los Villares, Arganda","Casa independiente","False","False","False","False","","","False","False","","","","","","distrito El Mirador - Grillero, Arganda","","","",""
"99389873","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c8/0f/f3/1045000026.jpg","SBRE-0184008","4","bj","157000.0","flat","sale","96.0","True","2","2","Calle el Greco","Madrid","Mejorada del Campo","","es","40.3951461","-3.4869031","False","https://www.idealista.com/inmueble/99389873/","12444","¿Quieres comprar una vivienda en venta en Mejorada del Campo?  Excelente oportunidad de adquirir en propiedad esta vivienda con una superficie de 101,43 m² bien distribuida en 2 dormitorios y 2 baños, salón comedor y cocina, ubicada en la localidad de Mejorada del Campo, provincia de Madrid.  ¿Te gustaría tener más información? No dudes en ponerte en contacto con nosotros. Mejorada del Campo es un municipio y localidad española de la Comunidad de Madrid. Con una población de 23 737 habitantes, el término municipal está situado en el este del área metropolitana de Madrid.","False","good","False","False","","","1635.0","flat","","Mejorada del Campo","Piso en Calle el Greco","False","False","False","False","","","False","False","","","","","","Todos los precios","","","",""
"98531319","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4e/74/5d/1015427990.jpg","00110","39","1","79000.0","flat","sale","88.0","True","3","1","Tielmes","Madrid","Tielmes","","es","40.2478214","-3.3087534","False","https://www.idealista.com/inmueble/98531319/","10120","DP2020, vende precios piso en la localidad de Tielmes, a solamente 30 minutos a Madrid, por la A 3, en direcciona a Valencia, en una zona privilegiada, rodeada de naturaleza.   La vivienda se distribuye en salón comedor con salida a una terraza con vistas a la vega, tres dormitorios amplios con mucha luz, cocina independiente con muebles altos y bajos y un baño.    Visítanos sin compromiso.    Si tienes problemas con la hipoteca nosotros te ayudamos!","False","good","False","False","","","898.0","flat","","Tielmes","Piso","False","False","False","False","","","False","False","","","","","","Todos los tamaños","","","",""
"98233947","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/97/69/c3/1007777754.jpg","010722-0","37","","198000.0","chalet","sale","180.0","False","3","3","La Poveda","Madrid","Arganda","La Poveda","es","40.3141821","-3.4826184","False","https://www.idealista.com/inmueble/98233947/","6806","¡ GRAN OPORTUNIDAD! ¡ FINANCIACIÓN 100% SIN AVAL!   ¡ SIN COMISIÓN DE AGENCIA! Precio de salida 198.000€ *** En período de pujas hasta el 28/07/22  Chalet adosado de esquina, muy luminoso y en buen estado de conservación, situado en la zona residencial de La Poveda. Zona muy tranquila, con amplias calles y con todos los servicios básicos a un paso: bus urbano e interurbano, estación de metro (línea 9 ), colegios, instituto, parques y zonas deportivas, supermercados, centro médico, centro médico, etc. Con rápido acceso a la A3. Dispone de gran salón comedor con chimenea y amplia cocina independiente (desde ambas estancias se accede a la zona de patio), 3 dormitorios y 2 baños completos (uno en dormitorio suite), aseo, garaje y habitación exterior multifuncional (para destinarla a trastero, gimnasio, lavadero, habitación de juegos, etc. ) ¡ Una vivienda ideal donde poder comenzar tu proyecto de familia! Te lo enseñamos sin ningún compromiso ¡ LLÁMANOS Y CONCIERTA TU VISITA!","False","good","False","","True","True","1100.0","chalet","terracedHouse","La Poveda, Arganda","Chalet adosado","False","False","False","False","","","False","False","","","","","","","","","",""
"96880711","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d9/3f/70/969915277.jpg","0041608VK6594S0002DL","26","bj","132000.0","flat","sale","102.0","True","2","1","Perales de Tajuña","Madrid","Perales de Tajuña","","es","40.2356437","-3.3580179","False","https://www.idealista.com/inmueble/96880711/","8425","DP2020 vende fantástico piso en la localidad de Perales de Tajuña a solamente 25 minutos de Madrid centro, en planta baja con altura de primera.  La vivienda tiene una superficie de 80 m2, útiles, distribuidos en dos dormitorios, un baño, salón comedor y cocina con salida a una pequeña terraza, en un entorno con vistas despejadas al campo.  La vivienda cuenta con calefacción por acumuladores eléctricos y estufa de pelletA/C. Vivienda muy bien conservada, casi nueva, lista para entrar a vivir.   La vivienda se vende amueblada y totalmente equipada. Cuenta con trastero.","False","good","False","False","","","1294.0","flat","","Perales de Tajuña","Piso","False","False","False","False","","","False","False","","","","","","","","","",""
"97916805","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/02/00/f9/1003290788.jpg","000102","29","bj","85000.0","flat","sale","89.0","True","3","1","Tielmes","Madrid","Tielmes","","es","40.249293","-3.3143121","False","https://www.idealista.com/inmueble/97916805/","9647","DP2020 vende piso en planta baja en la localidad en Tielmes.  La vivienda se distribuye de la siguiente forma: pasillo que distribuye 3 dormitorios, cocina independiente, salón comedor y baño recién reformado.  La vivienda cuenta con calefacción por radiadores eléctricos, agua caliente por termo eléctrico.  Dispone de un patio común para 4 vecinos, sin gastos de comunidad.  Muy buena ubicación y alcance a todos los servicios. Muy buena comunicación en autobús con Madrid (30 minutos).   PIDA SU CITA SIN COMPROMISO.","False","good","False","False","","","955.0","flat","","Tielmes","Piso","False","False","False","False","","","False","False","","","","","","","","","",""
"97086409","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/48/67/8f/986163645.jpg","030322-2","100","","247000.0","chalet","sale","145.0","False","4","3","Campo Real","Madrid","Campo Real","","es","40.3394579","-3.3721693","False","https://www.idealista.com/inmueble/97086409/","4863","¡BIENVENIDO A TU NUEVO HOGAR! ¡LA CASA QUE QUIERES. A UN PRECIO QUE PUEDES! Vivienda situada en Campo Real, municipio con denominación de origen en el que podrás disfrutar de su tranquilidad, de su buena gastronomía y de su historia... y todo ello a un paso de Madrid, con muy buena comunicación a través de la A-3, autopista R-3, líneas de autobuses y a tan sólo 10 minutos de la estación de metro de Arganda del Rey (línea 9). La vivienda se encuentra ubicada, posiblemente, en la mejor zona del municipio, con amplias calles por donde pasear y huir del bullicio de la gran ciudad, dotada de todos los servicios necesarios: centros educativos y deportivos, centro médico, zonas verdes, zona comercial y de restauración, etc. Se trata de una vivienda cómoda y de fácil acceso, con todas sus estancias independientes, amplias y luminosas, con un rincón para disfrutar de cada momento. En la época estival podrás tomar el sol en su jardín (actualmente pavimentado) y organizar reuniones y celebraciones al aire libre con familiares y amigos. En invierno, podrás realizar multitud de actividades en su gran y acogedora buhardilla o instalar en ella el cuarto de juegos de los peques de la casa. Y al final del día, podrás relajarte disfrutando de un baño en su hidromasaje. Además, el garaje se encuentra situado al nivel de la planta baja, lo que permite multitud de posibilidades (ampliarlo, anexionarlo a la vivienda, etc. ). ¡ OLVÍDATE DE PAGAR GASTOS DE COMUNIDAD Y DE REUNIONES DE VECINOS! ¿ A QUÉ ESTÁS ESPERANDO PARA HACER REALIDAD TU SUEÑO? ¡ NO LO DUDES Y LLÁMANOS!. Y si necesitas conseguir financiación... NOSOTROS TE PODEMOS AYUDAR ¡ PREGÚNTANOS! ****NO COBRAMOS HONORARIOS AL COMPRADOR****.","False","good","False","","True","True","1703.0","chalet","independantHouse","Campo Real","Casa independiente","False","False","False","False","","","False","False","","","","","","","","","",""
"98749053","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c3/d6/f3/1022473739.jpg","RP052022101445","14","","120000.0","flat","sale","61.0","True","3","1","Centro","Madrid","Arganda","Centro","es","40.3014446","-3.4461708","False","https://www.idealista.com/inmueble/98749053/","3604","Redpiso Arganda pone a la venta estupendo piso en zona centro totalmente reformado; inmueble bajo exterior, compuesto por 3 dormitorios, cocina, baño completo con plato de ducha, salón con preinstalación de aire acondicionado, ventanas climalit oscilobatientes, puertas de madera, paredes lisas, suelos de tarima. El inmueble se encuentra cerca de todos los servicios, paradas de autobús urbanos e interurbanos, metro, centro médico, guarderías, colegios e institutos. Te ofrecemos la posibilidad de que puedas asesorarte sin ningún compromiso con nuestro departamento financiero DCredit. Ven a visitarlo, te esperamos.","True","good","False","False","","","1967.0","flat","","Centro, Arganda","Piso","False","False","True","False","","","False","False","","","","","","","","","",""
