"elementList__propertyCode","elementList__thumbnail","elementList__externalReference","elementList__numPhotos","elementList__floor","elementList__price","elementList__propertyType","elementList__operation","elementList__size","elementList__exterior","elementList__rooms","elementList__bathrooms","elementList__address","elementList__province","elementList__municipality","elementList__district","elementList__country","elementList__latitude","elementList__longitude","elementList__showAddress","elementList__url","elementList__distance","elementList__description","elementList__hasVideo","elementList__status","elementList__newDevelopment","elementList__hasLift","elementList__parkingSpace__hasParkingSpace","elementList__parkingSpace__isParkingSpaceIncludedInPrice","elementList__newDevelopmentFinished","elementList__priceByArea","elementList__detailedType__typology","elementList__detailedType__subTypology","elementList__suggestedTexts__subtitle","elementList__suggestedTexts__title","elementList__hasPlan","elementList__has3DTour","elementList__has360","elementList__hasStaging","elementList__labels__name","elementList__labels__text","elementList__topNewDevelopment","elementList__superTopHighlight","total","totalPages","actualPage","itemsPerPage","numPaginations","summary","alertName","lowerRangePosition","upperRangePosition","paginable"
"96990457","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/52/9e/30/962411320.jpg","950000198","29","1","126000.0","flat","sale","78.0","True","3","2","Calle Mejorada","Madrid","Velilla de San Antonio","","es","40.3666508","-3.4887512","False","https://www.idealista.com/inmueble/96990457/","10107","Piso en venta en Velilla de San Antonio (madrid) Es una primera planta exterior a calle en una finca del año 1994. Tiene una superficie aproximada de 78 m2 distribuido en salón con salida a terraza exterior a calle, cocina, 3 dormitorios un baño y un aseo La vivienda necesita reformas   Presenta tu oferta y se la haremos llegar al propietario. Esta oferta no será vinculante hasta su aceptación y  presentación formal. Encontrarás más información en los Términos y Condiciones Velilla de San Antonio es un municipio madrileño, ubicado entre Mejorada del Campo y Rivas Vaciamadrid a unos 22 km de la capital de España comunicado por autovías y carreteras Tiene una población aproximada de 12.000 habitantes La vivienda se encuentra junto al polideportivo y la piscina municipal Comunidad de Madrid 3 habitaciónes y Parking Piso 1º planta  Exterior a calle Superficie Construida Aprox: 78 m2 Terraza de 5 m2 aprox 3 dormitorios Baño y aseo Necesita reformas Sin ascensor Plaza de Garage incluida en el precio Año de construcción: 1994 Presenta tu oferta y se la haremos llegar al propietario. Esta oferta no será vinculante hasta su aceptación y  presentación formal. Encontrarás más información en los Términos y Condiciones NO COBRAMOS COMISIÓN AL COMPRADOR Venta a través de nuestra plataforma online Por medio de nuestra web en el sistema de Venta Digital/ Make an offer los interesados podrán realizar una oferta directa por un precio que podrá ser superior o inferior al Precio de Venta, que no será vinculante y estará sujeta a la aprobación por parte del Vendedor. Infórmate de las ventajas de nuestro Marketplace inmobiliario en nuestra Web. Puede consultar la información relativa a este inmueble, así como el proceso de compra o reserva, dándose de alta en la página web de BidX1 o llamándonos al teléfono publicado. Toda la documentación facilitada es a efectos informativos. BidX1 pone a su disposición toda la información y documentación facilitados por la propiedad para que los interesados puedan llevar a cabo un proceso de diligencia debida en relación con el inmueble en venta, con carácter previo a la emisión de una oferta vinculante para dicho inmueble.","False","good","False","False","True","True","","1615.0","flat","","Velilla de San Antonio","Piso en Calle Mejorada","True","False","False","False","","","False","False","1168","24","8","50","0","Comprar","Viviendas en distrito El Mirador - Grillero, Arganda","350","400","True"
"99608056","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/86/9c/42/1049085486.jpg","","46","1","213000.0","flat","sale","120.0","True","1","2","Calle Gonzalo Torrente Ballester, 16","Madrid","Rivas-Vaciamadrid","Rivas Futura","es","40.3440265","-3.5237966","True","https://www.idealista.com/inmueble/99608056/","11158","INMOTUCASA TE OFRECE IDEAL LOFT EN LA MEJOR ZONA DE RIVAS-VACIAMADRID. Luminoso loft con un amplio espacio para la cocina, salón con techo alto de más de 5 metros, un aseo y armario empotrado. En la segunda planta tenemos el dormitorio, baño completo y un gran armario empotrado. Los grandes ventales y la orientación suroeste le da mucha luz a la vivienda. Cuenta con plaza de garaje, piscina y zona ajardinada. La ubicación es perfecta en la mejor zona de Rivas-Vaciamadrid, teniendo al lado de la vivienda el Hospital Universitario HM Rivas, el metro Rivas Futura y las lineas de autobús 334 y 1. Rodeado de todo tipo de servicios (restaurantes, guarderías, farmacia, supermercado) así como diversos Centros Comerciales. Par más información y concertar una visita no dudes en llamarnos. INMOTUCASA te ayuda con la financiación que mejor se ajuste a tu perfil.","False","good","False","True","True","True","","1775.0","flat","","Rivas Futura, Rivas-Vaciamadrid","Piso en Calle Gonzalo Torrente Ballester, 16","False","False","False","False","","","False","False","","","","","","Viviendas","","","",""
"98924012","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e0/31/a9/1027998623.jpg","3248-21853","56","","69000.0","countryHouse","sale","106.0","False","2","1","Cabeceras del Hoyo s/n","Madrid","Chinchón","","es","40.1830206","-3.4814013","True","https://www.idealista.com/inmueble/98924012/","14873","Excelente finca rústica, con vivienda, pozo y piscina en termino municipal de Chinchón (Madrid). Cerca de la carretera M-313, junto a parada del bus 337 (a 200 metros). Con acceso con coche desde el camino San Galindo. Está a 7,6 km. de Morata y a 14 Km. de Chinchón. A 30 minutos de Madrid capital con coche. La casa figura en el catastro como uso residencial y su construcción es de 1980. La casa no figura en la escritura y por tanto no se puede tramitar un préstamo hipotecario para comprarla. El terreno es agrario y según catastro tiene 1.867 m². La vivienda se ha comenzado a reformar y consta de 2 dormitorios, 1 baño y amplio salón con chimenea (antes 3 habitaciones). Reformada de tejado, techo, puertas, ventanas, paredes con aislante. Se entrega tal y como se ve en las fotos, sin la reforma totalmente terminada.","False","renew","False","","","","","651.0","countryHouse","countryHouse","Chinchón","Finca rústica en Cabeceras del Hoyo s/n","False","False","False","False","","","False","False","","","","","","distrito El Mirador - Grillero, Arganda","","","",""
"99565199","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cb/d3/a2/1047700040.jpg","IZ-03072","60","","319000.0","chalet","sale","274.0","False","5","2","Paseo de la Chopera","Madrid","Valdilecha","","es","40.2953024","-3.2962126","False","https://www.idealista.com/inmueble/99565199/","9155","Chalet independiente con espectaculares vistas del Pinar y el pueblo de Valdilecha, al lado del parque, del polideportivo, del pinar, el arroyo, en un paraje rodeado de encanto y magia. Se trata de una construcción a modo de atalaya en un parcela de varios niveles y diversos planos, piscina, huertos, terrazas naturales, jardines, leñero, etc.  El chalet consta de un salón inmenso con chimenea de leña. Sala de juegos con mesa de billar. Distribuida en dos plantas con 5 habitaciones y dos baños, y diversas dependencias adyacentes.","False","renew","False","","","","","1164.0","chalet","independantHouse","Valdilecha","Casa independiente en Paseo de la Chopera","True","False","False","False","","","False","False","","","","","","Todos los precios","","","",""
"99352599","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a7/a0/de/1041146068.jpg","EG5558","61","","176000.0","chalet","sale","125.0","False","3","2","Calle Noria","Madrid","Villar del Olmo","","es","40.3388395","-3.2342412","False","https://www.idealista.com/inmueble/99352599/","14911","Fantástico chalet pareado en Villar del Olmo en parcela de 315 metros y 125 construidos en 2 plantas según catastro.  Según entramos nos encontramos con un pasillo distribuidor en el cual a la izquierda se encuentra el salón comedor muy luminoso de gran tamaño y chimenea, según continuamos a la derecha se encuentra un aseo de cortesía y al fondo la cocina amueblada con salida a la parte exterior.  Según subimos las escaleras encontramos el baño completo con un tamaño espectacular y ventana, ademas 3 dormitorios dobles de gran tamaño.  Todas las estancias de la casa tienen un gran tamaño.  Jardín muy amplio con unas muy buenas vistas y con espacio suficiente para poder hacer tus sueños realidad.  No dejes escapar esta oportunidad.  Metros de la vivienda recogidos y contrastados según catastro/registro.  ¿Quieres saber si te conceden la hipoteca?  ¿Tienes que vender la casa para comprar esta? llámame y te damos una valoración gratuita.  Este anuncio no es vinculante y puede contener errores. Se muestra a título informativo y no es contractual. En los precios de venta no están incluidos impuestos legales ni gastos de escrituración.","False","good","False","","","","","1408.0","chalet","","Villar del Olmo","Chalet en Calle Noria","False","False","False","False","","","False","False","","","","","","Todos los tamaños","","","",""
"99610002","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8c/7e/4d/1049150286.jpg","","11","","119000.0","chalet","sale","180.0","False","4","3","Tielmes","Madrid","Tielmes","","es","40.2431956","-3.3171878","False","https://www.idealista.com/inmueble/99610002/","9898","CHALET DE OBRA NUEVA DE LIQUIDACION BANCARIA, SIN COMISIONES, DIRECTO DE BANCO, CON FACILIDADES DE FINANCIACION LLEGADNO HASTA EL 100 POR CIEN DE LA COMPRA Casa adosada de 3 plantas y dispone de un patio con salida desde el salon una terraza muy grande con salida desde el dormitorio principal en la primera planta, dispone de trastero y se distribuye en salón-comedor, cocina, 4 dormitorios y 2 baños. Ubicada junto al Consultorio Local de Tielmes y parada de autobús con destino a Madrid cada 30 min. dispone de todos los servicios básicos necesarios, cerca de superficies comerciales, centros educativos como el Colegio Público Carlos Ruiz, zonas de ocio como Plaza España y zonas verdes como el Parque Municipal. Además, dispone de buena comunicación mediante carreteras. PLAZA DE GARAJE DE 20 METROS en la misma finca.","False","good","False","","True","True","","661.0","chalet","terracedHouse","Tielmes","Chalet adosado","False","False","False","False","","","False","False","","","","","","","","","",""
"98904599","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4e/fb/01/1027194835.jpg"," 3501-06319","31","1","195000.0","flat","sale","84.0","True","3","2","Plaza Pablo Neruda, 5","Madrid","Rivas-Vaciamadrid","Covibar - Pablo Iglesias","es","40.3675799","-3.55005","True","https://www.idealista.com/inmueble/98904599/","14336","Vivienda versátil en Rivas Urbanizaciones  La vivienda cuenta con tres habitaciones con armarios empotrados y dos baños, uno de ellos con bañera y otro con plato de ducha.  El salón totalmente independiente con un ventanal acristalado con vista al parque. El piso se distribuye de una forma sencilla y cómoda, entrando por la puerta principal a mano derecha tenemos un armario perfecto para almacenar todo tipo de ropa u objetos. Siguiendo el pasillo, la primera puerta a mano derecha tenemos la cocina.  La cocina dispone de un gran espacio y que se encuentra totalmente amueblada con mobiliario alto y bajo de gran capacidad y equipado con cocina de gas, horno y placa vitrocerámica. La estancia dispone de acceso directo al tendedero que aumenta el almacenamiento de la cocina y gracias a su ventanal le permite entrar luz a toda la cocina.  A la izquierda, el salón-comedor independiente, con capacidad para separar y realizar dos ambientes: zona comedor y zona living, con el fondo del ventanal acristalado por el cual entra luz natural y se aprecia el parque infantil que está en la plaza. De frente el gran pasillo distribuidor donde se encuentran los accesos a las 3 habitaciones, con armarios empotrados y ventanas de aluminio, y los 2 cuartos de baño. Calefacción individual por gas. Suelo de parqué, carpinteria madera roble. Grandes ventanas en toda la vivienda de aluminio. Orientación Sur Este. Trastero incluído. Un primero sin ascensor con elevador de silla. Portal con acceso movilidad reducida. Gastos de comunidad 50 € La vivienda situada en una zona tranquila, en una zona familiar rodeada de jardines, zonas infantiles, arboles, comercios, farmacia, restaurantes, bares, academias, institutos, colegios y piscina, dispones de todos los servicios necesarios para el dia a dia de tu familia. El edificio cuenta con dos plantas, construido en el año 1983, está ubicado a tan sólo 5' del metro de Rivas Urbanizaciones, cerca de la parada de autobuses, salida directa a la A-3 carretera de Valencia, M40 M45 M50. Rivas-Vaciamadrid es un municipio de la Comunidad de Madrid, situado en la zona este del área metropolitana de Madrid. Se ubica a 15 km de la Puerta del Sol de Madrid y a 21 km de Alcalá de Henares, junto a la A-3. Limita al norte con Madrid (distrito de Vicálvaro) y con San Fernando de Henares, al sur con Arganda del Rey y San Martín de la Vega, al este con Mejorada del Campo y  Velilla de San Antonio, y al oeste con Getafe y Madrid (distrito de Villa de Vallecas). Es el séptimo municipio más rico de toda España y el cuarto municipio mayor de 50.000 habitantes con menor tasa de población en riesgo de pobreza. Su alta calidad de vida y servicios públicos atraen a vecinos de la capital y el resto del área metropolitana. Esta ciudad es la población que más rápido ha crecido de España en los últimos veinte años. “Los datos específicos sobre la finca publicada, pueden ser aproximados, por ello no son vinculantes ni contractuales, se muestran a título informativo. "" Impuestos y gastos NO INCLUIDOS: ITP o IVA, Notaria, Registro, gestoría, Tasación, etc…. Venga a verlo y si lo necesita le ayudaremos con la financiación. Reserve su cita para venir a verlo dentro de nuestro amplio horario, incluidos fines de semana. Si necesitas ampliar información estaremos encantados de atenderle. ¡ No dejes pasar la oportunidad y llámanos para concertar una visita lo antes posible! Te encantará!","True","good","False","False","","","","2321.0","flat","","Covibar - Pablo Iglesias, Rivas-Vaciamadrid","Piso en Plaza Pablo Neruda, 5","True","False","False","False","","","False","False","","","","","","","","","",""
"99442718","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8d/33/b8/1044114918.jpg"," 3501-06359","44","1","215000.0","flat","sale","82.0","True","3","2","Plaza de Madrid, 7","Madrid","Rivas-Vaciamadrid","Covibar - Pablo Iglesias","es","40.3646072","-3.547335","True","https://www.idealista.com/inmueble/99442718/","13972","Piso exterior en primera planta con ascensor en Covibar, Rivas Vaciamadrid El acceso a la vivienda se hace desde una altura a pie de calle, pero la vivienda se encuentra en una primera planta debido al desnivel de la finca.  La finca dispone de ascensor y está adaptada a personas con movilidad reducida La distribución de la vivienda es la siguiente:  Al acceder a la vivienda, disponemos un vestíbulo que distribuye entre la cocina, el salón y el pasillo con acceso a la habitaciones.  La cocina, la primera que encontramos a mano izquierda, está totalmente amueblada y equipada con mobiliario alto y bajo de gran capacidad y que dispone de un espacio perfecto para albergar una mesa con sillas para comer en esta estancia. Culminando la cocina encontramos un tendedero, perfecto para disponer de otros electrodomésticos como la lavadora o secadora, además de la caldera la cuál está instalada.  Siguiendo por el vestíbulo, encontramos el salón. Gracias a su gran tamaño, se puede dividir en dos espacios: salón y comedor. Es el espacio perfecto dónde se pasará más tiempo en toda la vivienda y que podremos disfrutar de los momentos más tranquilos en el sofá y las grandes reuniones en nuestra mesa de comedor. Además, dispone del acceso exterior de la vivienda con una terraza perfecta para albergar una mesa y disfrutar de las tardes de verano. Una vez adentrados en el pasillo, a mano derecha tenemos todas las habitaciones, a mano izquierda el baño y justo enfrente del pasillo, el otro baño.  Las habitaciones tienen un tamaño perfecto para albergar una cama y un escritorio, todas ellas con armarios empotrados. La habitación principal, además de tener más tamaño que el resto, dispone de acceso a un pequeño balcón.  Por otro lado, los baños disponen de todo el equipamiento sanitario, uno de ellos con ducha y el otro con bañera. La vivienda dispone de un trastero anejado que se encuentra en la planta baja de la finca. Características:  Suelo de parquet Calefacción de gas natural e individual Aire acondicionado en el salón Orientación Sur Terraza de 6 mts Rivas-Vaciamadrid es un municipio español de la provincia y Comunidad de Madrid, situado en la zona este del área metropolitana de Madrid. Se ubica a 15 km de la Puerta del Sol de Madrid y a 21 km de Alcalá de Henares, junto a la A-3. Limita al norte con Madrid (distrito de Vicálvaro) y con San Fernando de Henares, al sur con Arganda del Rey y San Martín de la Vega, al este con Mejorada del Campo y Velilla de San Antonio, y al oeste con Getafe y Madrid (distrito de Villa de Vallecas). Es el séptimo municipio más rico de toda España y el cuarto municipio mayor de 50.000 habitantes con menor tasa de población en riesgo de pobreza. Su alta calidad de vida y servicios públicos atraen a vecinos de la capital y el resto del área metropolitana. Esta ciudad es la población que más rápido ha crecido de España en los últimos veinte años. “Los datos específicos sobre la finca publicada, pueden ser aproximados, por ello no son vinculantes ni contractuales, se muestran a título informativo. "" m2 Impuestos y gastos NO INCLUIDOS: ITP o IVA, Notaria, Registro, gestoría, Tasación, etc…. Venga a verlo y si lo necesita le ayudaremos con la financiación. Reserve su cita para venir a verlo dentro de nuestro amplio horario, incluidos fines de semana. Si necesitas ampliar información estaremos encantados de atenderle. ¡ No dejes pasar la oportunidad y llámanos para concertar una visita lo antes posible! Te encantará!","True","good","False","True","","","","2622.0","flat","","Covibar - Pablo Iglesias, Rivas-Vaciamadrid","Piso en Plaza de Madrid, 7","True","False","False","False","","","False","False","","","","","","","","","",""
"99286169","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/44/c1/d0/1039273443.jpg","BOROS","49","","520000.0","chalet","sale","240.0","False","4","3","boros, 5","Madrid","Rivas-Vaciamadrid","Rivas Urbanizaciones","es","40.3616199","-3.5397522","True","https://www.idealista.com/inmueble/99286169/","13250","GARSIERRA. Os presentamos esta espaciosa casa situada en Rivas-Vaciamadrid, Madrid. El inmueble se distribuye en seis habitaciones, salón-comedor, cocina, tres baños y una terraza. Localizada en el centro de Rivas-Vaciamadrid. En sus alrededores encontramos escuelas, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos y la estación de metro Rivas Urbanizaciones. En términos de accesibilidad, la propiedad dispone de múltiples conexiones y cuenta con fácil acceso a Autovía del Este.","False","good","False","","True","True","","2167.0","chalet","independantHouse","Rivas Urbanizaciones, Rivas-Vaciamadrid","Casa independiente en boros, 5","True","False","False","False","","","False","False","","","","","","","","","",""
"99572553","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0e/ac/ed/1047924762.jpg","171193","34","4","275000.0","flat","sale","102.0","True","3","2","Paseo de las Provincias","Madrid","Rivas-Vaciamadrid","Rivas Urbanizaciones","es","40.3770761","-3.5303084","False","https://www.idealista.com/inmueble/99572553/","13531","Inmobiliaria Vohome Rivas vende Piso en Paseo de las Provincias, 28523, Rivas-Vaciamadrid, Madrid, situado en la planta 4. Es un piso exterior que hace esquina construido en el año 2007 que tiene 102 m2, de los cuales 82 m2 son útiles, y dispone de 3 habitaciones y 2 baños. Se ubica en una urbanización privada que tiene acceso para personas con movilidad reducida, piscina comunitaria, zona de juegos infantiles, jardín comunitario, azotea y ascensor. En el precio se incluye plaza de garaje y trastero. La vivienda ha sido reformada y cuenta con suelo de tarima, ventanas climalit, cocina americana, armarios empotrados, tendedero cubierto, calefacción de gas natural individual y pintura gotelé. El piso se sitúa frente al Centro Comercial Covibar II, tiene orientación sureste, es muy luminoso y cuenta con vistas despejadas. El barrio de la Luna se encuentra al final de la Avenida de los Almendros, considerada la zona joven de Rivas. Cuenta con varios centros educativos desde educación infantil hasta bachillerato, comercios, amplia gama de restauración y zonas verdes. En breve se construirá un centro de salud para dar mejor servicio a los vecinos y un polideportivo comunitario. También se valoran mejoras en los accesos viales. Llame para concertar su cita y visítenos sin compromiso. Disponemos de servicio de visita virtual guiada y servicio de asesoramiento financiero. Avd. de la Técnica S/N, CC PARQUE RIVAS (línea de cajas Carrefour). 28522 Rivas Vaciamadrid, Madrid Telf. : 91 032 71 42 Horario de oficina de lunes a viernes de 9:30 a 20:30 hs; sábados de 10:00 a 14:00 hs.","False","good","False","True","True","True","","2696.0","flat","","Rivas Urbanizaciones, Rivas-Vaciamadrid","Piso en Paseo de las Provincias","True","False","True","False","","","False","False","","","","","","","","","",""
